term_id,year,rank,term,list_series,source_url
2021-03,2021,3,双减,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-04,2021,4,破防,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-05,2021,5,元宇宙,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-06,2021,6,绝绝子,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-07,2021,7,躺平,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-08,2021,8,伤害性不高，侮辱性极强,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-09,2021,9,我看不懂，但我大受震撼,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-10,2021,10,强国有我,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-01,2022,1,党的二十大,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-02,2022,2,中国式现代化,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-03,2022,3,全过程人民民主,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-04,2022,4,端稳中国饭碗,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-05,2022,5,数字经济,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-06,2022,6,太空会师,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-07,2022,7,一起向未来,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-08,2022,8,我的眼睛就是尺,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-09,2022,9,电子榨菜,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2022-10,2022,10,俄乌冲突,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-01,2023,1,爱达未来,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-02,2023,2,烟火气,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-03,2023,3,数智生活,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-04,2023,4,村BA,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-05,2023,5,特种兵式旅游,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-06,2023,6,显眼包,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-07,2023,7,主打一个××,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-08,2023,8,多巴胺穿搭,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-09,2023,9,命运的齿轮开始转动,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2023-10,2023,10,新职人,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-01,2024,1,新质生产力,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-02,2024,2,《黑神话：悟空》,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-03,2024,3,人工智能+,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-04,2024,4,含金量还在上升,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-05,2024,5,City不City,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-06,2024,6,班味儿,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-07,2024,7,偏偏你最争气,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-08,2024,8,浓人淡人,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-09,2024,9,松弛感,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2024-10,2024,10,主理人,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2025-01,2025,1,DeepSeek（深度求索）,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-02,2025,2,敬自己一杯,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-03,2025,3,助我破鼎,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-04,2025,4,××基础××不基础,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-05,2025,5,千百次练习只为这一刻,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-06,2025,6,情绪价值,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-07,2025,7,如何呢又能怎,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-08,2025,8,村咖,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-09,2025,9,来财,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
2025-10,2025,10,浪浪山小妖怪,年度十大网络用语,https://nlp.ccnu.edu.cn/news/146
